Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,6,13,0.462,2,6,0.333,5,5,1,1,3,3,19,19.2,0,0,0
1,6,14,0.429,0,3,0,10,12,0.833,1,3,5,22,13.8,0,0,0
1,9,19,0.474,5,8,0.625,1,1,1,1,1,5,24,14.3,0,0,0
0,3,16,0.188,0,6,0,6,7,0.857,2,2,4,12,4.1,0,0,0
0,4,15,0.267,0,7,0,8,8,1,0,1,2,16,8,0,0,0
1,9,20,0.45,3,6,0.5,5,5,1,0,4,3,26,21.7,0,0,0
0,4,12,0.333,1,3,0.333,4,7,0.571,3,3,4,13,10.2,0,0,0
1,9,24,0.375,3,11,0.273,6,6,1,1,3,3,27,18.8,0,0,0
0,5,19,0.263,3,9,0.333,7,7,1,3,0,2,20,9.9,0,0,0
1,6,17,0.353,3,7,0.429,9,10,0.9,1,2,4,24,14.5,0,0,0
1,7,19,0.368,5,13,0.385,8,9,0.889,0,1,2,27,16.9,0,0,0
0,13,20,0.65,8,14,0.571,6,8,0.75,1,2,3,40,32.9,0,0,0
