Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,5,11,0.455,3,6,0.5,0,0,0,2,0,3,13,9.1,0,0
0,0,5,13,0.385,1,1,1,2,4,0.5,2,2,2,13,9.9,0,0
0,0,6,7,0.857,2,2,1,0,0,0,0,2,0,14,17.6,0,0
0,1,2,7,0.286,1,3,0.333,2,2,1,1,0,0,7,4,0,0
0,0,10,15,0.667,6,10,0.6,0,0,0,3,1,2,26,27,0,0
0,1,7,12,0.583,3,7,0.429,0,0,0,2,1,1,17,12.7,0,0
0,1,4,7,0.571,3,4,0.75,1,1,1,0,1,2,12,8.5,0,0
0,1,8,13,0.615,0,3,0,2,2,1,2,1,2,18,16.3,0,0
0,0,4,9,0.444,1,3,0.333,1,2,0.5,2,0,2,10,7.4,0,0
0,0,5,8,0.625,2,2,1,0,0,0,2,1,3,12,9.9,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
