Birthday,Road,Opp,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,CHI,7,14,0.5,2,6,0.333,5,7,0.714,2,0,5,21,18,0,0
0,0,DEN,4,15,0.267,2,7,0.286,4,4,1,0,1,2,14,10.7,0,0
0,1,BRK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,PHI,2,8,0.25,1,3,0.333,0,0,0,0,0,3,5,4.3,0,0
0,1,CHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,LAL,6,16,0.375,0,4,0,6,7,0.857,1,2,3,18,11.6,0,0
0,1,MIN,7,16,0.438,4,7,0.571,2,2,1,1,2,3,20,21.1,0,0
0,0,POR,3,8,0.375,1,3,0.333,1,2,0.5,0,2,2,8,7.5,0,0
0,1,UTA,11,12,0.917,6,7,0.857,0,0,0,1,1,3,28,23.5,0,0
0,1,POR,3,6,0.5,1,2,0.5,0,0,0,0,1,2,7,6.8,0,0
0,1,NOP,0,3,0,0,1,0,0,0,0,1,1,3,0,-2.2,0,0
0,0,SAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,DET,8,16,0.5,3,6,0.5,1,1,1,2,1,2,20,19.7,0,0
0,1,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,OKC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
