Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,5,8,0.625,2,5,0.4,3,3,1,1,1,3,15,13.8,0,0
0,0,8,15,0.533,2,5,0.4,5,6,0.833,2,3,5,23,27.8,0,0
0,1,5,15,0.333,1,4,0.25,6,8,0.75,5,3,3,17,17.2,0,0
0,1,12,22,0.545,4,5,0.8,6,6,1,5,1,5,34,26,0,0
0,1,9,11,0.818,2,2,1,1,1,1,2,0,1,21,21.9,0,0
0,1,10,21,0.476,3,6,0.5,2,2,1,0,0,2,25,18.1,0,0
0,1,4,14,0.286,1,2,0.5,5,6,0.833,3,1,4,14,9.6,0,0
0,1,11,21,0.524,3,7,0.429,4,4,1,6,2,2,29,30.4,0,0
0,1,11,22,0.5,1,6,0.167,0,0,,1,1,3,23,18.6,0,0
0,0,14,24,0.583,2,5,0.4,5,5,1,1,0,4,35,28.1,0,0
0,0,11,17,0.647,4,6,0.667,4,6,0.667,1,4,3,30,28.3,0,0
0,0,6,20,0.3,1,6,0.167,3,3,1,3,1,5,16,13.8,0,0
0,1,9,14,0.643,1,2,0.5,4,5,0.8,2,2,2,23,28.1,0,0
0,0,5,14,0.357,1,4,0.25,4,4,1,2,2,2,15,21.6,0,0
0,1,14,25,0.56,4,7,0.571,3,4,0.75,2,1,4,35,25,0,0
