Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,8,17,0.471,2,6,0.333,3,4,0.75,2,0,2,21,15.6,0,0
0,1,6,12,0.5,3,6,0.5,4,4,1,1,0,2,19,12.1,0,0
0,1,5,13,0.385,4,7,0.571,0,2,0,1,0,3,14,10.2,0,0
0,0,8,15,0.533,1,2,0.5,0,1,0,0,2,4,17,10.9,0,0
0,1,6,17,0.353,2,6,0.333,0,0,0,1,0,3,14,2.1,0,0
0,0,8,16,0.5,2,5,0.4,0,0,0,1,2,1,18,19,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,2,12,0.167,0,3,0,3,4,0.75,1,1,3,7,3.7,0,0
0,1,9,19,0.474,1,6,0.167,1,2,0.5,1,3,3,20,19.7,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
