Birthday,Road,Opp,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,DET,4,8,0.5,3,7,0.429,4,5,0.8,1,4,3,15,25.4,0,0
0,0,HOU,10,14,0.714,7,9,0.778,3,4,0.75,0,1,2,30,26.1,1,0
0,1,NYK,3,8,0.375,2,7,0.286,8,8,1,0,2,2,16,17.9,0,0
0,1,BRK,4,13,0.308,1,8,0.125,2,2,1,1,1,2,11,12.7,0,0
0,1,IND,3,10,0.3,3,7,0.429,4,4,1,3,0,4,13,9.2,0,0
0,0,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,OKC,7,10,0.7,5,7,0.714,3,3,1,1,0,6,22,20.7,0,0
0,1,ORL,9,17,0.529,7,13,0.538,0,0,0,0,0,0,25,19.8,0,0
0,1,CLE,7,10,0.7,6,9,0.667,4,4,1,0,0,4,24,24.3,0,0
0,0,BRK,7,11,0.636,5,6,0.833,6,6,1,0,0,4,25,28.9,0,0
1,0,LAC,4,10,0.4,3,7,0.429,0,0,0,2,1,3,11,9.6,0,0
0,0,DEN,4,10,0.4,3,6,0.5,0,0,0,0,0,0,11,13.5,0,0
0,1,BOS,4,13,0.308,2,10,0.2,1,2,0.5,0,0,2,11,7.5,0,0
0,1,CLE,2,11,0.182,1,7,0.143,0,0,0,0,1,4,5,-1.9,0,0
0,0,BOS,5,11,0.455,2,7,0.286,1,2,0.5,1,1,3,13,9.8,0,0
0,0,IND,3,11,0.273,3,8,0.375,0,0,0,0,1,1,9,6.3,0,0
0,0,ORL,3,10,0.3,1,7,0.143,4,4,1,0,2,4,11,7.8,0,0
0,1,DET,4,8,0.5,3,7,0.429,0,0,0,0,0,3,11,12.6,0,0
0,1,MIA,10,20,0.5,5,10,0.5,3,4,0.75,1,0,1,28,25.9,0,0
