Birthday,Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,5,13,0.385,4,9,0.444,4,4,1,2,0,0,18,16,0,0
0,0,8,15,0.533,4,6,0.667,3,4,0.75,1,1,1,23,21.7,0,0
0,0,7,15,0.467,2,6,0.333,4,4,1,0,3,1,20,17.1,0,0
0,1,6,14,0.429,3,6,0.5,5,5,1,2,0,2,20,15.9,0,0
0,1,0,2,0,0,2,0,1,1,1,0,0,2,1,-1.9,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,3,11,0.273,0,6,0,2,3,0.667,0,1,5,8,1.9,0,0
0,0,4,13,0.308,2,4,0.5,3,5,0.6,1,1,1,13,8.3,0,0
0,0,4,8,0.5,4,6,0.667,6,6,1,0,1,1,18,19.8,0,0
0,0,5,10,0.5,4,6,0.667,2,2,1,1,1,2,16,12.5,0,0
0,1,5,10,0.5,3,6,0.5,4,5,0.8,0,0,3,17,15.6,0,0
0,1,9,17,0.529,6,13,0.462,4,5,0.8,2,2,1,28,22.9,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
