Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,7,18,0.389,5,7,0.714,0,0,0,3,1,1,19,13.6,0,0,0
0,10,19,0.526,5,9,0.556,5,7,0.714,0,0,1,30,21.1,0,0,0
0,5,11,0.455,2,5,0.4,5,6,0.833,0,1,3,17,14.5,0,0,0
0,12,24,0.5,3,10,0.3,2,2,1,0,1,1,29,19,0,0,0
0,8,16,0.5,0,4,0,0,0,0,1,0,2,16,9.6,0,0,0
1,9,17,0.529,2,4,0.5,1,2,0.5,0,1,0,21,17.6,0,0,0
0,4,15,0.267,0,5,0,0,0,0,0,0,1,8,1.4,0,0,0
0,12,22,0.545,1,4,0.25,1,1,1,1,2,1,26,21.3,0,0,0
1,14,24,0.583,5,9,0.556,1,2,0.5,1,1,2,34,26,0,0,0
1,3,19,0.158,1,6,0.167,0,0,0,2,1,0,7,-0.2,0,0,0
1,16,25,0.64,3,7,0.429,7,9,0.778,0,1,2,42,32.7,0,0,0
0,6,15,0.4,1,4,0.25,0,0,0,0,0,4,13,3.6,0,0,0
0,7,16,0.438,2,7,0.286,4,4,1,1,4,4,20,18.9,0,0,0
1,7,18,0.389,0,5,0,2,3,0.667,0,1,2,16,9.8,0,0,0
1,7,25,0.28,2,9,0.222,0,0,0,1,0,0,16,0.7,0,0,0
1,7,19,0.368,0,3,0,3,4,0.75,0,0,0,17,9.1,0,0,0
1,5,18,0.278,2,5,0.4,4,4,1,4,2,2,16,10.4,0,0,0
0,8,18,0.444,2,4,0.5,1,2,0.5,1,1,3,19,11.7,0,0,0
