Birthday,Road,Opp,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,1,SAC,11,21,0.524,2,7,0.286,0,0,0,0,0,3,24,14.4,0,0
0,1,POR,8,18,0.444,3,6,0.5,0,0,0,1,2,4,19,8.6,0,0
0,1,MIL,10,20,0.5,4,11,0.364,2,2,1,0,1,4,26,17.9,0,0
0,0,TOR,7,17,0.412,2,7,0.286,9,10,0.9,0,0,2,25,17.3,0,0
0,0,DAL,8,17,0.471,1,6,0.167,2,2,1,0,0,2,19,7.1,0,0
0,0,PHI,3,13,0.231,1,8,0.125,2,2,1,0,0,4,9,3.8,0,0
0,0,CHO,7,15,0.467,4,6,0.667,7,8,0.875,0,0,2,25,19.1,0,0
0,0,CHI,7,15,0.467,4,11,0.364,4,4,1,0,2,0,22,15.6,0,0
0,1,MIA,5,15,0.333,1,8,0.125,1,1,1,3,1,2,12,4.5,0,0
0,0,MIN,14,25,0.56,6,11,0.545,5,7,0.714,0,2,2,39,28.2,0,0
0,1,WAS,5,15,0.333,1,6,0.167,0,0,0,0,3,1,11,6.4,0,0
0,1,CHO,5,12,0.417,2,7,0.286,5,5,1,1,1,2,17,13.1,0,0
0,1,PHI,3,13,0.231,2,8,0.25,1,2,0.5,2,0,3,9,1.6,0,0
0,0,DET,7,17,0.412,3,7,0.429,1,1,1,0,1,1,18,10.2,0,0
0,0,ORL,6,13,0.462,1,7,0.143,3,4,0.75,0,1,4,16,10.1,0,0
0,0,MIA,5,10,0.5,4,7,0.571,1,2,0.5,0,2,2,15,14.5,0,0
0,0,MIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
